index;prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
1921;TIER-3 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.25
1922;TOP-LEVEL DOMAINS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.25
1923;TRADITIONAL TELEPHONE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-0.10
1924;TRANSMISSION CONTROL PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1925;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1926;TRANSPORT LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1927;TROJAN HORSE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.25
1928;UNIFORM RESOURCE LOCATOR;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.00
1929;USER DATAGRAM PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.50
1930;VIRUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.25
1931;VOICE OVER INTERNET PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1932;WEBSERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1933;WIDE AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-0.10
1934;WIRELESS NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;1.00
1935;WORLD WIDE WEB;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1936;WORM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.25
1937;SECOND GENERATION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-0.50
1938;EMAIL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.00
1939;CLIENT-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1940;SERVER-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1941;SERVLET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-0.25
1942;WEBSERVERS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1943;4G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.25
1944;ANTIVIRUS SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;-1.25
1945;SEARCH ENGINE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1946;WIFI NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;0;;;;;;;0.00
1947;1G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
1948;3G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
1949;ACCESS INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
1950;ACCESS POINT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1951;ACTIVE SERVER PAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
1952;ADDRESSING SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1953;APPLICATION LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
1954;AUDITING SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1955;BIT PATTERN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
1956;BODY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1957;BRIDGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1958;BROWSER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1959;BUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1960;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1961;CERTIFICATE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1962;CERTIFICATE AUTHORITY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1963;CLIENT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1964;CLIENT SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1965;CLIENT/SERVER MODEL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1966;CLOUD COMPUTING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
1967;CLUSTER COMPUTE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1968;COLLISION AVOIDANCE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1969;COLLISION DETECTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1970;COMPUTER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1971;COMPUTER SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1972;CONTENT DELIVERY NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
1973;DENIAL OF SERVICE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1974;DIGITAL SIGNATURE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1975;DISTRIBUTED SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.10
1976;DOMAIN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1977;DOMAIN NAME;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1978;DOMAIN NAME SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1979;ENCRYPTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1980;END SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1981;END USER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1982;ETHERNET NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1983;EXTENSIBLE MARKUP LANGUAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
1984;FILE SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1985;FILE TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1986;FIREWALL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
1987;FORWARDING TABLE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1988;GATEWAY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1989;GRID COMPUTE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1990;HEAD;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
1991;HIDDEN TERMINAL PROBLEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1992;HOP COUNT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1993;HOT SPOT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
1994;HUB;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
1995;HYPERTEXT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1996;HYPERTEXT DOCUMENT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.30
1997;HYPERTEXT MARKUP LANGUAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
1998;HYPERTEXT TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
1999;HYPERTEXT TRANSFER PROTOCOL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2000;INSTANT MESSAGING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2001;INTERNET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2002;INTERNET INFRASTRUCTURE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2003;INTERNET MAIL ACCESS PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2004;INTERNET PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2005;INTERNET PROTOCOL ADDRESS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2006;INTERNET PROTOCOL NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2007;INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
2008;INTERNET SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2009;INTERNET2;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2010;INTERPROCESS COMMUNICATION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
2011;INTRANET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2012;JAVASERVER PAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
2013;LINK LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
2014;LOCAL AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2015;MAGNETIC DISK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
2016;MAIL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2017;MALICIOUS SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.75
2018;MASS STORAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.10
2019;METROPOLITAN AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2020;MNEMONIC ADDRESS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.30
2021;MNEMONIC DOMAIN NAME;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2022;NAME SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2023;NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2024;NETWORK LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
2025;NETWORK NEWS TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2026;NETWORK SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2027;OPEN NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2028;PEER-TO-PEER MODEL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2029;PERSONAL AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2030;PHISHING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2031;PHONE NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.10
2032;PHP;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
2033;PORT NUMBER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.70
2034;POST OFFICE PROTOCOL VERSION 3;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2035;PRINT SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
2036;PRIVATE-KEY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2037;PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2038;PROXY SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2039;PUBLIC-KEY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2040;PUBLIC-KEY ENCRYPTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2041;REGISTERED DOMAIN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2042;REMOTE MAIL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2043;REMOTE SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2044;REPEATER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.50
2045;ROUTER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2046;SECURE SHELL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2047;SECURE SOCKET LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2048;SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2049;SERVER SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2050;SERVLETS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
2051;SIMPLE MAIL TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2052;SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2053;SPYWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2054;STAR;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2055;SUBDOMAINS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2056;SWITCH;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2057;TAG;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2058;TIER-1 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2059;TIER-2 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2060;TIER-3 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2061;TOP-LEVEL DOMAINS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2062;TRADITIONAL TELEPHONE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.10
2063;TRANSMISSION CONTROL PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2064;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2065;TRANSPORT LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2066;TROJAN HORSE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2067;UNIFORM RESOURCE LOCATOR;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2068;USER DATAGRAM PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.50
2069;VIRUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2070;VOICE OVER INTERNET PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2071;WEBSERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2072;WIDE AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.10
2073;WIRELESS NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;1.00
2074;WORLD WIDE WEB;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2075;WORM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2076;SECOND GENERATION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.50
2077;EMAIL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.00
2078;CLIENT-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2079;SERVER-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2080;SERVLET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-0.25
2081;WEBSERVERS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2082;4G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.25
2083;ANTIVIRUS SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;-1.25
2084;SEARCH ENGINE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2085;WIFI NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;;;;;;;0.00
2086;1G;CERTIFICATE;0;;;;;;;1.50
2087;3G;CERTIFICATE;0;;;;;;;1.50
2088;ACCESS INTERNET SERVICE PROVIDER;CERTIFICATE;0;;;;;;;1.00
2089;ACCESS POINT;CERTIFICATE;0;;;;;;;1.00
2090;ACTIVE SERVER PAGE;CERTIFICATE;0;;;;;;;1.00
2091;ADDRESSING SYSTEM;CERTIFICATE;0;;;;;;;1.00
2092;APPLICATION LAYER;CERTIFICATE;0;;;;;;;1.00
2093;AUDITING SOFTWARE;CERTIFICATE;0;;;;;;;0.00
2094;BIT PATTERN;CERTIFICATE;0;;;;;;;1.50
2095;BODY;CERTIFICATE;0;;;;;;;1.25
2096;BRIDGE;CERTIFICATE;0;;;;;;;2.00
2097;BROWSER;CERTIFICATE;0;;;;;;;1.00
2098;BUS;CERTIFICATE;0;;;;;;;1.00
2099;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;CERTIFICATE;0;;;;;;;1.25
2100;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;CERTIFICATE;0;;;;;;;1.25
2101;CERTIFICATE AUTHORITY;CERTIFICATE;0;;;;;;;0.00
2102;CLIENT;CERTIFICATE;0;;;;;;;1.25
2103;CLIENT SIDE;CERTIFICATE;0;;;;;;;1.25
2104;CLIENT/SERVER MODEL;CERTIFICATE;0;;;;;;;2.00
2105;CLOUD COMPUTING;CERTIFICATE;0;;;;;;;1.75
2106;CLUSTER COMPUTE;CERTIFICATE;0;;;;;;;2.00
2107;COLLISION AVOIDANCE;CERTIFICATE;0;;;;;;;1.25
2108;COLLISION DETECTION;CERTIFICATE;0;;;;;;;1.25
2109;COMPUTER;CERTIFICATE;0;;;;;;;1.25
2110;COMPUTER SYSTEM;CERTIFICATE;0;;;;;;;1.25
2111;CONTENT DELIVERY NETWORK;CERTIFICATE;0;;;;;;;1.50
2112;DENIAL OF SERVICE;CERTIFICATE;0;;;;;;;0.00
2113;DIGITAL SIGNATURE;CERTIFICATE;0;;;;;;;0.00
2114;DISTRIBUTED SYSTEM;CERTIFICATE;0;;;;;;;1.75
2115;DOMAIN;CERTIFICATE;0;;;;;;;1.00
2116;DOMAIN NAME;CERTIFICATE;0;;;;;;;1.00
2117;DOMAIN NAME SYSTEM;CERTIFICATE;0;;;;;;;1.00
2118;ENCRYPTION;CERTIFICATE;0;;;;;;;0.00
2119;END SYSTEM;CERTIFICATE;0;;;;;;;1.25
2120;END USER;CERTIFICATE;0;;;;;;;1.25
2121;ETHERNET NETWORK;CERTIFICATE;0;;;;;;;1.00
2122;EXTENSIBLE MARKUP LANGUAGE;CERTIFICATE;0;;;;;;;1.00
2123;FILE SERVER;CERTIFICATE;0;;;;;;;1.25
2124;FILE TRANSFER PROTOCOL;CERTIFICATE;0;;;;;;;1.00
2125;FIREWALL;CERTIFICATE;0;;;;;;;0.00
2126;FORWARDING TABLE;CERTIFICATE;0;;;;;;;1.25
2127;GATEWAY;CERTIFICATE;0;;;;;;;1.50
2128;GRID COMPUTE;CERTIFICATE;0;;;;;;;2.00
2129;HEAD;CERTIFICATE;0;;;;;;;1.50
2130;HIDDEN TERMINAL PROBLEM;CERTIFICATE;0;;;;;;;2.00
2131;HOP COUNT;CERTIFICATE;0;;;;;;;0.50
2132;HOT SPOT;CERTIFICATE;0;;;;;;;1.50
2133;HUB;CERTIFICATE;0;;;;;;;2.00
2134;HYPERTEXT;CERTIFICATE;0;;;;;;;1.00
2135;HYPERTEXT DOCUMENT;CERTIFICATE;0;;;;;;;1.00
2136;HYPERTEXT MARKUP LANGUAGE;CERTIFICATE;0;;;;;;;1.00
2137;HYPERTEXT TRANSFER PROTOCOL;CERTIFICATE;0;;;;;;;1.00
2138;HYPERTEXT TRANSFER PROTOCOL SERVER;CERTIFICATE;0;;;;;;;1.00
2139;INSTANT MESSAGING;CERTIFICATE;0;;;;;;;1.75
2140;INTERNET;CERTIFICATE;0;;;;;;;1.25
2141;INTERNET INFRASTRUCTURE;CERTIFICATE;0;;;;;;;1.00
2142;INTERNET MAIL ACCESS PROTOCOL;CERTIFICATE;0;;;;;;;1.00
2143;INTERNET PROTOCOL;CERTIFICATE;0;;;;;;;1.25
2144;INTERNET PROTOCOL ADDRESS;CERTIFICATE;0;;;;;;;1.25
2145;INTERNET PROTOCOL NETWORK;CERTIFICATE;0;;;;;;;1.25
2146;INTERNET SERVICE PROVIDER;CERTIFICATE;0;;;;;;;1.00
2147;INTERNET SOFTWARE;CERTIFICATE;0;;;;;;;1.25
2148;INTERNET2;CERTIFICATE;0;;;;;;;1.50
2149;INTERPROCESS COMMUNICATION;CERTIFICATE;0;;;;;;;2.00
2150;INTRANET;CERTIFICATE;0;;;;;;;1.50
2151;JAVASERVER PAGE;CERTIFICATE;0;;;;;;;1.00
2152;LINK LAYER;CERTIFICATE;0;;;;;;;1.00
2153;LOCAL AREA NETWORK;CERTIFICATE;0;;;;;;;1.75
2154;MAGNETIC DISK;CERTIFICATE;0;;;;;;;2.00
2155;MAIL SERVER;CERTIFICATE;0;;;;;;;1.00
2156;MALICIOUS SOFTWARE;CERTIFICATE;0;;;;;;;1.00
2157;MASS STORAGE;CERTIFICATE;0;;;;;;;1.75
2158;METROPOLITAN AREA NETWORK;CERTIFICATE;0;;;;;;;1.75
2159;MNEMONIC ADDRESS;CERTIFICATE;0;;;;;;;1.00
2160;MNEMONIC DOMAIN NAME;CERTIFICATE;0;;;;;;;1.00
2161;NAME SERVER;CERTIFICATE;0;;;;;;;1.25
2162;NETWORK;CERTIFICATE;0;;;;;;;1.25
2163;NETWORK LAYER;CERTIFICATE;0;;;;;;;1.00
2164;NETWORK NEWS TRANSFER PROTOCOL;CERTIFICATE;0;;;;;;;1.50
2165;NETWORK SOFTWARE;CERTIFICATE;0;;;;;;;1.25
2166;OPEN NETWORK;CERTIFICATE;0;;;;;;;1.00
2167;PEER-TO-PEER MODEL;CERTIFICATE;0;;;;;;;1.75
2168;PERSONAL AREA NETWORK;CERTIFICATE;0;;;;;;;1.75
2169;PHISHING;CERTIFICATE;0;;;;;;;0.00
2170;PHONE NETWORK;CERTIFICATE;0;;;;;;;1.75
2171;PHP;CERTIFICATE;0;;;;;;;1.00
2172;PORT NUMBER;CERTIFICATE;0;;;;;;;1.00
2173;POST OFFICE PROTOCOL VERSION 3;CERTIFICATE;0;;;;;;;1.00
2174;PRINT SERVER;CERTIFICATE;0;;;;;;;2.00
2175;PRIVATE-KEY;CERTIFICATE;0;;;;;;;0.00
2176;PROTOCOL;CERTIFICATE;0;;;;;;;1.25
2177;PROXY SERVER;CERTIFICATE;0;;;;;;;0.00
