prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
BIT PATTERN;BUS;;0;0;;;;;
BODY;BUS;;0;0;;;;;
BRIDGE;BUS;;0;0;;;;;
BROWSER;BUS;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;BUS;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;BUS;;0;0;;;;;
CERTIFICATE;BUS;;0;0;;;;;
CERTIFICATE AUTHORITY;BUS;;0;0;;;;;
CLIENT;BUS;;0;0;;;;;
CLIENT SIDE;BUS;;0;0;;;;;
CLIENT/SERVER MODEL;BUS;;0;0;;;;;
CLOUD COMPUTING;BUS;;0;0;;;;;
CLUSTER COMPUTE;BUS;;0;0;;;;;
COLLISION AVOIDANCE;BUS;;0;0;;;;;
COLLISION DETECTION;BUS;;0;0;;;;;
COMPUTER;BUS;;0;0;;;;;
COMPUTER SYSTEM;BUS;;0;0;;;;;
CONTENT DELIVERY NETWORK;BUS;;0;0;;;;;
DENIAL OF SERVICE;BUS;;0;0;;;;;
DIGITAL SIGNATURE;BUS;;0;0;;;;;
DISTRIBUTED SYSTEM;BUS;;0;0;;;;;
DOMAIN;BUS;;0;0;;;;;
DOMAIN NAME;BUS;;0;0;;;;;
DOMAIN NAME SYSTEM;BUS;;0;0;;;;;
ENCRYPTION;BUS;;0;0;;;;;
END SYSTEM;BUS;;0;0;;;;;
END USER;BUS;;0;0;;;;;
ETHERNET NETWORK;BUS;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;BUS;;0;0;;;;;
FILE SERVER;BUS;;0;0;;;;;
FILE TRANSFER PROTOCOL;BUS;;0;0;;;;;
FIREWALL;BUS;;0;0;;;;;
FORWARDING TABLE;BUS;;0;0;;;;;
GATEWAY;BUS;;0;0;;;;;
GRID COMPUTE;BUS;;0;0;;;;;
HEAD;BUS;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;BUS;;0;0;;;;;
HOP COUNT;BUS;;0;0;;;;;
HOT SPOT;BUS;;0;0;;;;;
HUB;BUS;;0;0;;;;;
HYPERTEXT;BUS;;0;0;;;;;
HYPERTEXT DOCUMENT;BUS;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;BUS;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;BUS;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;BUS;;0;0;;;;;
INSTANT MESSAGING;BUS;;0;0;;;;;
INTERNET;BUS;;0;0;;;;;
INTERNET INFRASTRUCTURE;BUS;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;BUS;;0;0;;;;;
INTERNET PROTOCOL;BUS;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;BUS;;0;0;;;;;
INTERNET PROTOCOL NETWORK;BUS;;0;0;;;;;
INTERNET SERVICE PROVIDER;BUS;;0;0;;;;;
INTERNET SOFTWARE;BUS;;0;0;;;;;
INTERNET2;BUS;;0;0;;;;;
INTERPROCESS COMMUNICATION;BUS;;0;0;;;;;
INTRANET;BUS;;0;0;;;;;
JAVASERVER PAGE;BUS;;0;0;;;;;
LINK LAYER;BUS;;0;0;;;;;
LOCAL AREA NETWORK;BUS;;0;0;;;;;
MAGNETIC DISK;BUS;;0;0;;;;;
MAIL SERVER;BUS;;0;0;;;;;
MALICIOUS SOFTWARE;BUS;;0;0;;;;;
MASS STORAGE;BUS;;0;0;;;;;
METROPOLITAN AREA NETWORK;BUS;;0;0;;;;;
MNEMONIC ADDRESS;BUS;;0;0;;;;;
MNEMONIC DOMAIN NAME;BUS;;0;0;;;;;
NAME SERVER;BUS;;0;0;;;;;
NETWORK;BUS;;0;0;;;;;
NETWORK LAYER;BUS;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;BUS;;0;0;;;;;
NETWORK SOFTWARE;BUS;;0;0;;;;;
OPEN NETWORK;BUS;;0;0;;;;;
PEER-TO-PEER MODEL;BUS;;0;0;;;;;
PERSONAL AREA NETWORK;BUS;;0;0;;;;;
PHISHING;BUS;;0;0;;;;;
PHONE NETWORK;BUS;;0;0;;;;;
PHP;BUS;;0;0;;;;;
PORT NUMBER;BUS;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;BUS;;0;0;;;;;
PRINT SERVER;BUS;;0;0;;;;;
PRIVATE-KEY;BUS;;0;0;;;;;
PROTOCOL;BUS;;0;0;;;;;
PROXY SERVER;BUS;;0;0;;;;;
PUBLIC-KEY;BUS;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;BUS;;0;0;;;;;
REGISTERED DOMAIN;BUS;;0;0;;;;;
REMOTE MAIL SERVER;BUS;;0;0;;;;;
REMOTE SERVER;BUS;;0;0;;;;;
REPEATER;BUS;;0;0;;;;;
ROUTER;BUS;;0;0;;;;;
SECURE SHELL;BUS;;0;0;;;;;
SECURE SOCKET LAYER;BUS;;0;0;;;;;
SERVER;BUS;;0;0;;;;;
SERVER SIDE;BUS;;0;0;;;;;
SERVLETS;BUS;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;BUS;;0;0;;;;;
SOFTWARE;BUS;;0;0;;;;;
SPYWARE;BUS;;0;0;;;;;
STAR;BUS;;0;0;;;;;
SUBDOMAINS;BUS;;0;0;;;;;
SWITCH;BUS;;0;0;;;;;
TAG;BUS;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;BUS;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;BUS;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;BUS;;0;0;;;;;
TOP-LEVEL DOMAINS;BUS;;0;0;;;;;
TRADITIONAL TELEPHONE;BUS;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;BUS;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;BUS;;0;0;;;;;
TRANSPORT LAYER;BUS;;0;0;;;;;
TROJAN HORSE;BUS;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;BUS;;0;0;;;;;
USER DATAGRAM PROTOCOL;BUS;;0;0;;;;;
VIRUS;BUS;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;BUS;;0;0;;;;;
WEBSERVER;BUS;;0;0;;;;;
WIDE AREA NETWORK;BUS;;0;0;;;;;
WIRELESS NETWORK;BUS;;0;0;;;;;
WORLD WIDE WEB;BUS;;0;0;;;;;
WORM;BUS;;0;0;;;;;
SECOND GENERATION;BUS;;0;0;;;;;
EMAIL;BUS;;0;0;;;;;
CLIENT-SIDE;BUS;;0;0;;;;;
SERVER-SIDE;BUS;;0;0;;;;;
SERVLET;BUS;;0;0;;;;;
WEBSERVERS;BUS;;0;0;;;;;
4G;BUS;;0;0;;;;;
ANTIVIRUS SOFTWARE;BUS;;0;0;;;;;
SEARCH ENGINE;BUS;;0;0;;;;;
WIFI NETWORK;BUS;;0;0;;;;;
1G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
3G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ACCESS POINT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ACTIVE SERVER PAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ADDRESSING SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
APPLICATION LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
AUDITING SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
BIT PATTERN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
BODY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
BRIDGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
BROWSER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
BUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CERTIFICATE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CERTIFICATE AUTHORITY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLIENT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLIENT SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLIENT/SERVER MODEL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLOUD COMPUTING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLUSTER COMPUTE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
COLLISION AVOIDANCE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
COLLISION DETECTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
COMPUTER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
COMPUTER SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CONTENT DELIVERY NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DENIAL OF SERVICE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DIGITAL SIGNATURE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DISTRIBUTED SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DOMAIN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DOMAIN NAME;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
DOMAIN NAME SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ENCRYPTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
END SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
END USER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ETHERNET NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
FILE SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
FILE TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
FIREWALL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
FORWARDING TABLE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
GATEWAY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
GRID COMPUTE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HEAD;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HOP COUNT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HOT SPOT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HUB;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HYPERTEXT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HYPERTEXT DOCUMENT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INSTANT MESSAGING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET INFRASTRUCTURE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET PROTOCOL NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERNET2;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTERPROCESS COMMUNICATION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
INTRANET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
JAVASERVER PAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
LINK LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
LOCAL AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MAGNETIC DISK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MAIL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MALICIOUS SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MASS STORAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
METROPOLITAN AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MNEMONIC ADDRESS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
MNEMONIC DOMAIN NAME;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
NAME SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
NETWORK LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
NETWORK SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
OPEN NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PEER-TO-PEER MODEL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PERSONAL AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PHISHING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PHONE NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PHP;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PORT NUMBER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PRINT SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PRIVATE-KEY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PROXY SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PUBLIC-KEY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
REGISTERED DOMAIN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
REMOTE MAIL SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
REMOTE SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
REPEATER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ROUTER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SECURE SHELL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SECURE SOCKET LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SERVER SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SERVLETS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SPYWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
STAR;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SUBDOMAINS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SWITCH;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TAG;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TOP-LEVEL DOMAINS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TRADITIONAL TELEPHONE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TRANSPORT LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
TROJAN HORSE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
USER DATAGRAM PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
VIRUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WEBSERVER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WIDE AREA NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WIRELESS NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WORLD WIDE WEB;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WORM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SECOND GENERATION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
EMAIL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
CLIENT-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SERVER-SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SERVLET;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WEBSERVERS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
4G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
ANTIVIRUS SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
SEARCH ENGINE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
WIFI NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;;0;0;;;;;
1G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
3G;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
ACCESS POINT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
ACTIVE SERVER PAGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
ADDRESSING SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
APPLICATION LAYER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
AUDITING SOFTWARE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
BIT PATTERN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
BODY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
BRIDGE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
BROWSER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
BUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CERTIFICATE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CERTIFICATE AUTHORITY;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CLIENT;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CLIENT SIDE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CLIENT/SERVER MODEL;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CLOUD COMPUTING;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CLUSTER COMPUTE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
COLLISION AVOIDANCE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
COLLISION DETECTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
COMPUTER;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
COMPUTER SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
CONTENT DELIVERY NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DENIAL OF SERVICE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DIGITAL SIGNATURE;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DISTRIBUTED SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DOMAIN;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DOMAIN NAME;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
DOMAIN NAME SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
ENCRYPTION;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
END SYSTEM;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;;0;0;;;;;
