PR containing manual concept,prerequisite,advanced,sentID,weight,agreem,sent-1,sent,sent+1,Revised,Semantic Relation Type,Linguistic Type,Problem,Uncertain ?,Comments,Transitive,,Helper_rel,
FALSE,MACHINE,UNIFORM RESOURCE LOCATOR,364,strong,1,"Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.",A typical uniform resource locator is presented in Figure 4.8.,"It consists of four segments: the protocol to use to communicate with the server controlling access to the document, the mnemonic address of the machine containing the server, the directory path needed for the server to find the directory containing the document, and the name of the document itself.",1,p usa a o viceversa,,,,,1,"MACHINE,UNIFORM_RESOURCE_LOCATOR","MACHINE,UNIFORM RESOURCE LOCATOR",1
FALSE,HYPERTEXT DOCUMENT,HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT,384,strong,1,Note that the tags are delineated by the symbols < and >.,The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).,The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.,1,p usa a o viceversa ,,,,,1,"HYPERTEXT_DOCUMENT,HYPERTEXT_MARKUP_LANGUAGE_SOURCE_DOCUMENT","HYPERTEXT DOCUMENT,HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT",1
TRUE,SERVER,COMMON GATEWAY INTERFACE,473,strong,1,Still another approach is the system Flash (developed by Macromedia) by which extensive multimedia client-side presentations can be implemented.,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,1,p usa a o viceversa ,,wrong direction,,,1,"SERVER,COMMON_GATEWAY_INTERFACE","SERVER,COMMON GATEWAY INTERFACE",1
TRUE,COMMON GATEWAY INTERFACE,SERVLET,474,strong,1,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,"A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.",1,p usa a o viceversa ,,,,,0,"COMMON_GATEWAY_INTERFACE,SERVLET","COMMON GATEWAY INTERFACE,SERVLET",0
TRUE,SERVER,SERVLET,474,strong,1,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,"A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.",1,p usa a o viceversa ,,,,,1,"SERVER,SERVLET","SERVER,SERVLET",1
FALSE,INTERNET,TRANSPORT LAYER,514,weak,1,"To fulfill this need, the application layer may use the services of the name servers within the Internet to translate mnemonic addresses used by humans into Internet-compatible internet protocol addresses.",An important task of the transport layer is to accept messages from the application layer and to ensure that the messages are properly formatted for transmission over the Internet.,"Toward this latter goal, the transport layer divides long messages into small segments, which are transmitted over the Internet as individual units.",1,p usa a o viceversa ,,,,,1,"INTERNET,TRANSPORT_LAYER","INTERNET,TRANSPORT LAYER",1
FALSE,INTERNET,LINK LAYER,523,strong,1,It is the network layer's job to decide in which direction a packet should be sent at each step along the packet's path through the Internet.,"In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.",The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.,1,p usa a o viceversa ,,,,,1,"INTERNET,LINK_LAYER","INTERNET,LINK LAYER",1
TRUE,MESSAGE,HOP COUNT,584,strong,1,Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.,"An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.",This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.,"0,5",,,weight,,,0,"MESSAGE,HOP_COUNT","MESSAGE,HOP COUNT",0
TRUE,INTERNET,IPV4,589,strong,1,"Although the Internet continues to grow on a daily basis, an initial hop count of 64 remains more than sufficient to allow a packet to find its way through the maze of routers within today's internet service providers.",For years a version of internet protocol known as IPv4 (internet protocol version four) has been used for implementing the network layer within the Internet.,"However, the Internet is rapidly outgrowing the 32-bit internet addressing system dictated by internet protocol version four.",1,,p è modificatore nel composto,,,,1,"INTERNET,IPV4","INTERNET,IPV4",1
TRUE,INTERNET,IPV6,591,strong,1,"However, the Internet is rapidly outgrowing the 32-bit internet addressing system dictated by internet protocol version four.","To solve this problem as well as to implement other improvements such as multicast, a new version of internet protocol known as IPv6 (internet protocol version six), which uses internet addresses consisting of 128 bits, has been established.",The process of converting from internet protocol version four to internet protocol version six is currently underway-this is the conversion that was alluded to in our introduction of Internet addresses in Section 4.2-and it is expected that the use of 32-bit addresses within the Internet will be extinct by 2025.,1,,p è modificatore nel composto,,,,1,"INTERNET,IPV6","INTERNET,IPV6",1
FALSE,COMPUTER SYSTEM,MALICIOUS SOFTWARE,598,strong,1,There are numerous ways that a computer system and its contents can be attacked via network connections.,Many of these incorporate the use of malicious software (collectively called malware).,"Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.",1,p usa a o viceversa,,,,,1,"COMPUTER_SYSTEM,MALICIOUS_SOFTWARE","COMPUTER SYSTEM,MALICIOUS SOFTWARE",1
FALSE,NETWORK,MALICIOUS SOFTWARE,598,strong,1,There are numerous ways that a computer system and its contents can be attacked via network connections.,Many of these incorporate the use of malicious software (collectively called malware).,"Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.",1,p usa a o viceversa,,,,,0,"NETWORK,MALICIOUS_SOFTWARE","NETWORK,MALICIOUS SOFTWARE",0
TRUE,HOST,VIRUS,606,strong,1,The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.,A virus is software that infects a computer by inserting itself into programs that already reside in the machine.,"Then, when the "" host "" program is executed, the virus is also executed.",1,p usa a o viceversa ,,,,,0,"HOST,VIRUS","HOST,VIRUS",0
TRUE,MACHINE,VIRUS,606,strong,1,The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.,A virus is software that infects a computer by inserting itself into programs that already reside in the machine.,"Then, when the "" host "" program is executed, the virus is also executed.",1,p usa a o viceversa,,,,,0,"MACHINE,VIRUS","MACHINE,VIRUS",0
FALSE,NETWORK,DENIAL OF SERVICE,630,strong,1,"In contrast to suffering from such internal infections as viruses and spyware, a computer in a network can also be attacked by software being executed on other computers in the system.","An example is a denial of service (DoS) attack, which is the process of overloading a computer with messages. denial of service attacks have been launched against large commercial webservers on the Internet to disrupt the company's business and in some cases have brought the company's commercial activity to a halt.",A denial of service attack requires the generation of a large number of messages over a brief period of time.,1,p usa a o viceversa,,,,,0,"NETWORK,DENIAL_OF_SERVICE","NETWORK,DENIAL OF SERVICE",0
FALSE,NETWORK,PROXY SERVER,665,strong,1,"Then, each time a client within the intranet tries to contact a server of that type, the client is actually placed in contact with the proxy server.","In turn, the proxy server, playing the role of a client, contacts the actual server.",From then on the proxy server plays the role of an intermediary between the actual client and the actual server by relaying messages back and forth.,1,p usa a o viceversa,,,,,1,"NETWORK,PROXY_SERVER","NETWORK,PROXY SERVER",1
TRUE,COMPUTER,PERSONAL AREA NETWORK,9,weak,2,Network Classifications,"A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).",A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.,,,,,,,,,,
TRUE,COMPUTER,PERSONAL AREA NETWORK,9,strong,2,Network Classifications,"A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).",A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.,,,,,,,,,,
TRUE,COMPUTER,METROPOLITAN AREA NETWORK,9,strong,2,Network Classifications,"A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).",A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.,,,,,,,,,,
TRUE,COMPUTER,WIDE AREA NETWORK,9,strong,2,Network Classifications,"A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).",A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.,,,,,,,,,,
TRUE,MACHINE,WIDE AREA NETWORK,14,strong,2,"A metropolitan area network is a network of intermediate size, such as one spanning a local community.","Finally, a wide area network links machines over a greater distance-perhaps in neighboring cities or on opposite sides of the world.",Another means of classifying networks is based on whether the network's internal operation is based on designs that are in the public domain or on innovations owned and controlled by a particular entity such as an individual or a corporation.,,,,,,,,,,
TRUE,MACHINE,STAR,23,strong,2,"Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.","Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).","The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.",,,,,,,,,,
TRUE,BUS NETWORK,ETHERNET NETWORK,24,strong,2,"Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).","The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.",The star topology has roots as far back as the 1970s.,,,,,,,,,,
TRUE,BUS NETWORK,HUB,33,strong,2,"Instead, it may have a very short bus with long links to the individual machines, meaning that the network would look more like a star.","Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.",This hub is little more than a very short bus.,,,,,,,,,,
TRUE,NETWORK,PROTOCOL,37,strong,2,The result is a network that looks like a star network although it operates like a bus network.,"Protocols For a network to function reliably, it is important to establish rules by which activities are conducted.",Such rules are called protocols.,,,,,,,,,,
TRUE,NETWORK,PROTOCOL,41,strong,2,"Thus, the development of protocol standards is an indispensable process in the development of networking technologies.","As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.","Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.",,,,,,,,,,
TRUE,CARRIER SENSE,MULTIPLE ACCESS WITH COLLISION DETECTION,43,strong,2,"Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.","In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).",This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).,,,,,,,,,,
TRUE,MACHINE,HIDDEN TERMINAL PROBLEM,55,strong,2,"For example, the machine may not hear the other because its own signal drowns out that of the other machine.","Another cause might be that the signals from the different machines are blocked from each other by objects or distance even though they can all communicate with the central access point (a condition known as the hidden terminal problem, Figure 4.3).",The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.,,,,,,,,,,
TRUE,CARRIER SENSE,COLLISION AVOIDANCE,57,strong,2,The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.,"Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar "" Institute of Electrical and Electronics Engineers "" in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.",We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.,,,,,,,,,,
TRUE,NETWORK,COLLISION AVOIDANCE,57,strong,2,The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.,"Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar "" Institute of Electrical and Electronics Engineers "" in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.",We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.,,,,,,,,,,
TRUE,PROTOCOL,COLLISION AVOIDANCE,58,strong,2,"Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar "" Institute of Electrical and Electronics Engineers "" in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.",We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.,"When collisions do occur, messages must be retransmitted.",,,,,,,,,,
TRUE,NETWORK,REPEATER,77,strong,2,"For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.","This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.","The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).",,,,,,,,,,
TRUE,NETWORK,BRIDGE,77,strong,2,"For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.","This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.","The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).",,,,,,,,,,
TRUE,WIFI NETWORK,GATEWAY,113,strong,2,In other cases the term gateway may be used to refer to more than just a router.,"For example, in most residential wifi networks that are connected to the Internet, the term gateway refers collectively to both the network's access point and the router connected to the access point because these two devices are normally packaged in a single unit.",Methods of Process Communication,,,,,,,,,,
TRUE,NETWORK,CLIENT/SERVER MODEL,119,strong,2,"This model defines the basic roles played by the processes as either a client, which makes requests of other processes, or a server, which satisfies the requests made by clients.",An early application of the client/server model appeared in networks connecting all the computers in a cluster of offices.,"In this situation, a single, highquality printer was attached to the network where it was available to all the machines in the network.",,,,,,,,,,
TRUE,COMPUTER,CLIENT/SERVER MODEL,119,strong,2,"This model defines the basic roles played by the processes as either a client, which makes requests of other processes, or a server, which satisfies the requests made by clients.",An early application of the client/server model appeared in networks connecting all the computers in a cluster of offices.,"In this situation, a single, highquality printer was attached to the network where it was available to all the machines in the network.",,,,,,,,,,
TRUE,NETWORK,SERVER,121,weak,2,"In this situation, a single, highquality printer was attached to the network where it was available to all the machines in the network.","In this case the printer played the role of a server (often called a print server), and the other machines were programmed to play the role of clients that sent print requests to the print server.",Another early application of the client/server model was used to reduce the cost of magnetic disk storage while also removing the need for duplicate copies of records.,,,,,,,,,,
TRUE,SERVER,PEER-TO-PEER MODEL,130,strong,2,"Whereas the client/server model involves one process (the server) providing a service to numerous others (clients), the peer-topeer model involves processes that provide service to and receive service from each other (Figure 4.6).","Moreover, whereas a server must execute continuously so that it is prepared to serve its clients at any time, the peer-to-peer model usually involves processes that execute on a temporary basis.","For example, applications of the peer-to-peer model include instant messaging in which people carry on a written conversation over the Internet as well as situations in which people play competitive interactive games.",,,,,,,,,,
TRUE,NETWORK,DISTRIBUTED SYSTEM,147,strong,2,"With the success of networking technology, interaction between computers via networks has become common and multifaceted.","Many modern software systems, such as global information retrieval systems, company-wide accounting and inventory systems, computer games, and even the software that controls a network's infrastructure itself are designed as distributed systems, meaning that they consist of software units that execute as processes on different computers.",Early distributed systems were developed independently from scratch.,,,,,,,,,,
TRUE,COMPUTER,DISTRIBUTED SYSTEM,147,strong,2,"With the success of networking technology, interaction between computers via networks has become common and multifaceted.","Many modern software systems, such as global information retrieval systems, company-wide accounting and inventory systems, computer games, and even the software that controls a network's infrastructure itself are designed as distributed systems, meaning that they consist of software units that execute as processes on different computers.",Early distributed systems were developed independently from scratch.,,,,,,,,,,
TRUE,COMPUTER,INTERNET,166,strong,2,4.2 The Internet,"The most notable example of an internet is the Internet (note the uppercase I), which originated from research projects going back to the early 1960s.",The goal was to develop the ability to link a variety of computer networks so that they could function as a connected system that would not be disrupted by local disasters.,,,,,,,,,,
TRUE,INTRANET,ACCESS INTERNET SERVICE PROVIDER,186,strong,2,Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.,"An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.",Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.,,,,,,,,,,
TRUE,ROUTER,HOT SPOT,205,strong,2,These technologies may be used to provide direct connection to an end system or to a customer's router to which multiple end systems are connected.,This latter tactic is popular for individual residences where a local hot spot is created by a router / access point connected to an access internet service provider by means of existing cable or telephone lines.,"Telephone, cable television, and satellite wide area networks of the twentieth century were designed to carry analog communications, such as the human voice or pre-digital television signals.",,,,,,,,,,
TRUE,ACCESS INTERNET SERVICE PROVIDER,HOT SPOT,205,strong,2,These technologies may be used to provide direct connection to an end system or to a customer's router to which multiple end systems are connected.,This latter tactic is popular for individual residences where a local hot spot is created by a router / access point connected to an access internet service provider by means of existing cable or telephone lines.,"Telephone, cable television, and satellite wide area networks of the twentieth century were designed to carry analog communications, such as the human voice or pre-digital television signals.",,,,,,,,,,
TRUE,INTERNET,INTERNET PROTOCOL ADDRESS,215,strong,2,"As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.",In the Internet these addresses are known as internet protocol addresses.,"The term internet protocol refers to "" internet protocol "", which is a term we will learn more about in Section 4.4.",,,,,,,,,,
TRUE,INTERNET SERVICE PROVIDER,INTERNET PROTOCOL ADDRESS,218,weak,2,"Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).","Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.",The internet service providers are then allowed to allocate the addresses within their awarded blocks to machines within their region of authority.,,,,,,,,,,
TRUE,INTERNET,MNEMONIC DOMAIN NAME,228,strong,2,"Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.","As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.","Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.",,,,,,,,,,
TRUE,DOMAIN NAME,MNEMONIC DOMAIN NAME,228,strong,2,"Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.","As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.","Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.",,,,,,,,,,
TRUE,INTERNET,DOMAIN NAME,228,strong,2,"Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.","As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.","Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.",,,,,,,,,,
TRUE,MNEMONIC ADDRESS,NAME SERVER,245,strong,2,"Thus, if a human wants to send a message to a distant machine and identifies the destination by means of a mnemonic address, the software being used must be able to convert that address into an internet protocol address before transmitting the message.","This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.","Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).",,,,,,,,,,
TRUE,INTERNET PROTOCOL ADDRESS,NAME SERVER,245,strong,2,"Thus, if a human wants to send a message to a distant machine and identifies the destination by means of a mnemonic address, the software being used must be able to convert that address into an internet protocol address before transmitting the message.","This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.","Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).",,,,,,,,,,
TRUE,EMAIL MESSAGE,SIMPLE MAIL TRANSFER PROTOCOL,268,strong,2,"One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.","While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,,,,,,,,,,
TRUE,HOST,SIMPLE MAIL TRANSFER PROTOCOL,269,strong,2,"While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"Consider the example case of a mail server mail.skaro.gov sending an email from end user "" dalek "" to end user "" doctor "" in the domain tardis.edu.",,,,,,,,,,
TRUE,DOMAIN NAME SYSTEM,SIMPLE MAIL TRANSFER PROTOCOL,269,strong,2,"While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"Consider the example case of a mail server mail.skaro.gov sending an email from end user "" dalek "" to end user "" doctor "" in the domain tardis.edu.",,,,,,,,,,
TRUE,NETWORK PROTOCOL,DOMAIN NAME SYSTEM,272,strong,2,"First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.","To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.",This is not unlike looking up the phone number of an acquaintance before dialing.,,,,,,,,,,
TRUE,INTERNET PROTOCOL ADDRESS,SIMPLE MAIL TRANSFER PROTOCOL,269,strong,2,"While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"Consider the example case of a mail server mail.skaro.gov sending an email from end user "" dalek "" to end user "" doctor "" in the domain tardis.edu.",,,,,,,,,,
TRUE,SIMPLE MAIL TRANSFER PROTOCOL,MULTIPURPOSE INTERNET MAIL EXTENSION,298,strong,2,Other protocols come into play for other aspects of transporting email.,"Because simple mail transfer protocol was initially designed for transferring text messages encoded with ASCII, additional protocols such as multipurpose internet mail extension (MIME) have been developed to convert non-ASCII data to simple mail transfer protocol compatible form.",There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.,,,,,,,,,,
TRUE,MESSAGE,POST OFFICE PROTOCOL VERSION 3,301,strong,2,"These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced "" pop-THREE "") is the simpler of the two.","Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.",This is done on the user's local machine using the local machine's mass storage.,,,,,,,,,,
TRUE,MESSAGE,INTERNET MAIL ACCESS PROTOCOL,303,strong,2,This is done on the user's local machine using the local machine's mass storage.,"internet mail access protocol (pronounced "" EYE-map "") allows a user to store and manipulate messages and related materials on the same machine as the mail server.","In this manner, a user who must access his or her email from different computers can maintain records at the mail server that are then accessible from any remote computer to which the user may have access.",,,,,,,,,,
TRUE,PHONE NETWORK,4G,323,strong,2,"Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.","However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.",Internet Multimedia Streaming,,,,,,,,,,
TRUE,HOST,4G,323,strong,2,"Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.","However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.",Internet Multimedia Streaming,,,,,,,,,,
TRUE,INTERNET,4G,323,strong,2,"Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.","However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.",Internet Multimedia Streaming,,,,,,,,,,
TRUE,PHONE NETWORK,1G,332,strong,2,"The first generation wireless telephone network transmitted analog voice signals through the air, much like traditional telephones but without the copper wire running into the wall.","In retrospect, we call these early phones "" 1G "", or first generation.","The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.",,,,,,,,,,
TRUE,PHONE NETWORK,4G,335,strong,2,"The Third Generation ("" 3G "") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.","The 4G network provides even higher data rates and a fully packet-switched internet protocol network, which has allowed smartphones to enjoy the connectivity and flexibility previously available only to broadband-enabled PCs.","The Generations of wireless telephones Mobile phone technology has evolved rapidly since the first simple, handheld electronic units were introduced in the 1980s.",,,,,,,,,,
TRUE,INTERNET,CONTENT DELIVERY NETWORK,344,strong,2,"In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.","Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network "" neighborhood "".","In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.",,,,,,,,,,
TRUE,END USER,CONTENT DELIVERY NETWORK,344,strong,2,"In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.","Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network "" neighborhood "".","In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.",,,,,,,,,,
TRUE,INTERNET,BROWSER,355,strong,2,Web Implementation,Software packages that allow users to access hypertext on the Internet fall into one of two categories: browsers and webservers.,A browser resides on the user's computer and is charged with the tasks of obtaining materials requested by the user and presenting these materials to the user in an organized manner.,,,,,,,,,,
TRUE,HYPERTEXT DOCUMENT,WEBSERVER,358,strong,2,"Common Internet browsers include Firefox, Safari, and Internet Explorer.",The webserver resides on a computer containing hypertext documents to be accessed.,Its task is to provide access to the documents under its control as requested by clients (browsers).,,,,,,,,,,
TRUE,HYPERTEXT DOCUMENT,HYPERTEXT TRANSFER PROTOCOL,360,strong,2,Its task is to provide access to the documents under its control as requested by clients (browsers).,Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).,"In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).",,,,,,,,,,
TRUE,HYPERTEXT DOCUMENT,UNIFORM RESOURCE LOCATOR,361,strong,2,Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).,"In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).",Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.,,,,,,,,,,
